"cloud_revision","app_name","appid","port","port_xxl_job","destPath","downloadUrl"
"406","winning-mds-allinone","1001","10010","10011","/winning/app//winning-mds-allinone/1.0.1/10010","svn://10.10.99.21/RC/base/winning-mds-allinone-202103181123"
"0","winning-business-coordinator","103","59000","59001","/winning/app//winning-business-coordinator/1.0.1/59000","svn://10.10.99.21/RC/base/winning-business-coordinator-202102021632"
"327","winning-bmts-allinone","2001","20010","20011","/winning/app//winning-bmts-allinone/1.0.1/20010","svn://10.10.99.21/RC/base/winning-bmts-allinone-202104201831"
"527","winning-bas-allinone-cis-outpatient","4001","40010","40011","/winning/app//winning-bas-allinone-cis-outpatient/1.0.1/40010","svn://10.10.99.21/RC/base/winning-bas-allinone-cis-outpatient-202103201601"
"0","winning-mas-allinone","4002","40020","40021","/winning/app//winning-mas-allinone/1.0.1/40020","svn://10.10.99.21/RC/base/winning-mas-allinone-202104082054"
"44","winning-ias-execution-report-adapter","4131","41310","41311","/winning/app//winning-ias-execution-report-adapter/1.0.1/41310","svn://10.10.99.21/RC/base/winning-ias-execution-report-adapter-202103081955"
"90","winning-ias-master-data-gateway","4192","41920","41921","/winning/app//winning-ias-master-data-gateway/1.0.1/41920","svn://10.10.99.21/RC/base/winning-ias-master-data-gateway-202103152153"
"0","winning-decouple-outpat","4193","41930","41931","/winning/app//winning-decouple-outpat/1.0.1/41930","svn://10.10.99.21/RC/base/winning-decouple-outpat-202101261438"
"47","winning-ias-biz-gateway","4194","41940","41941","/winning/app//winning-ias-biz-gateway/1.0.1/41940","svn://10.10.99.21/RC/base/winning-ias-biz-gateway-202103152154"
"98","winning-ias-fhir","4195","41950","41951","/winning/app//winning-ias-fhir/1.0.1/41950","svn://10.10.99.21/RC/base/winning-ias-fhir-202104152132"
"18","winning-coordinator-plugin-allinone","6100","61001","61002","/winning/app//winning-coordinator-plugin-allinone/1.0.1/61001","svn://10.10.99.21/RC/base/winning-coordinator-plugin-allinone-202104080013"
